trade_dt,s_info_windcode,trade_dt,s_dq_close
20050930,CI005919.WI,20050930,947.7552
20051010,CI005919.WI,20051010,936.1441
20051011,CI005919.WI,20051011,953.8109
20051012,CI005919.WI,20051012,962.3972
20051013,CI005919.WI,20051013,956.0014
20051014,CI005919.WI,20051014,947.4343
20051017,CI005919.WI,20051017,946.7853
20051018,CI005919.WI,20051018,955.3815
20051019,CI005919.WI,20051019,950.6866
20051020,CI005919.WI,20051020,947.6405
20051021,CI005919.WI,20051021,954.2155
20051024,CI005919.WI,20051024,957.4934
20051025,CI005919.WI,20051025,942.8737
20051026,CI005919.WI,20051026,920.7501
20051027,CI005919.WI,20051027,910.4899
20051028,CI005919.WI,20051028,893.1891
20051031,CI005919.WI,20051031,897.5239
20051101,CI005919.WI,20051101,892.5812
20051102,CI005919.WI,20051102,907.8165
20051103,CI005919.WI,20051103,895.7567
20051104,CI005919.WI,20051104,900.803
20051107,CI005919.WI,20051107,905.6584
20051108,CI005919.WI,20051108,909.7469
20051109,CI005919.WI,20051109,905.797
20051110,CI005919.WI,20051110,885.761
20051111,CI005919.WI,20051111,887.416
20051114,CI005919.WI,20051114,886.7709
20051115,CI005919.WI,20051115,883.0651
20051116,CI005919.WI,20051116,886.8483
20051117,CI005919.WI,20051117,886.4546
20051118,CI005919.WI,20051118,903.2072
20051121,CI005919.WI,20051121,906.6274
20051122,CI005919.WI,20051122,893.619
20051123,CI005919.WI,20051123,899.1963
20051124,CI005919.WI,20051124,899.1885
20051125,CI005919.WI,20051125,900.1863
20051128,CI005919.WI,20051128,895.26
20051129,CI005919.WI,20051129,884.0198
20051130,CI005919.WI,20051130,881.4865
20051201,CI005919.WI,20051201,876.7135
20051202,CI005919.WI,20051202,871.2111
20051205,CI005919.WI,20051205,850.8795
20051206,CI005919.WI,20051206,853.6477
20051207,CI005919.WI,20051207,860.7722
20051208,CI005919.WI,20051208,860.2663
20051209,CI005919.WI,20051209,872.2757
20051212,CI005919.WI,20051212,873.1099
20051213,CI005919.WI,20051213,871.336
20051214,CI005919.WI,20051214,882.7928
20051215,CI005919.WI,20051215,881.3814
20051216,CI005919.WI,20051216,888.1368
20051219,CI005919.WI,20051219,888.1843
20051220,CI005919.WI,20051220,890.13
20051221,CI005919.WI,20051221,884.0264
20051222,CI005919.WI,20051222,890.1442
20051223,CI005919.WI,20051223,901.0981
20051226,CI005919.WI,20051226,907.445
20051227,CI005919.WI,20051227,906.6332
20051228,CI005919.WI,20051228,907.4433
20051229,CI005919.WI,20051229,917.5958
20051230,CI005919.WI,20051230,908.5326
20060104,CI005919.WI,20060104,914.5573
20060105,CI005919.WI,20060105,926.8325
20060106,CI005919.WI,20060106,936.2701
20060109,CI005919.WI,20060109,946.2007
20060110,CI005919.WI,20060110,945.932
20060111,CI005919.WI,20060111,939.7342
20060112,CI005919.WI,20060112,954.5635
20060113,CI005919.WI,20060113,956.1426
20060116,CI005919.WI,20060116,942.1526
20060117,CI005919.WI,20060117,942.429
20060118,CI005919.WI,20060118,957.8385
20060119,CI005919.WI,20060119,963.2001
20060120,CI005919.WI,20060120,962.5147
20060123,CI005919.WI,20060123,962.132
20060124,CI005919.WI,20060124,962.1474
20060125,CI005919.WI,20060125,966.8684
20060206,CI005919.WI,20060206,988.9766
20060207,CI005919.WI,20060207,989.1089
20060208,CI005919.WI,20060208,994.7387
20060209,CI005919.WI,20060209,980.6276
20060210,CI005919.WI,20060210,992.7024
20060213,CI005919.WI,20060213,1000.9188
20060214,CI005919.WI,20060214,1009.0026
20060215,CI005919.WI,20060215,1007.7386
20060216,CI005919.WI,20060216,983.2224
20060217,CI005919.WI,20060217,977.6564
20060220,CI005919.WI,20060220,975.6808
20060221,CI005919.WI,20060221,986.5336
20060222,CI005919.WI,20060222,987.1105
20060223,CI005919.WI,20060223,988.9827
20060224,CI005919.WI,20060224,995.1075
20060227,CI005919.WI,20060227,992.1749
20060228,CI005919.WI,20060228,995.0556
20060301,CI005919.WI,20060301,1000.8428
20060302,CI005919.WI,20060302,991.2283
20060303,CI005919.WI,20060303,990.3469
20060306,CI005919.WI,20060306,988.712
20060307,CI005919.WI,20060307,967.3333
20060308,CI005919.WI,20060308,961.2031
20060309,CI005919.WI,20060309,959.8668
20060310,CI005919.WI,20060310,962.829
20060313,CI005919.WI,20060313,967.0051
20060314,CI005919.WI,20060314,966.8035
20060315,CI005919.WI,20060315,974.8155
20060316,CI005919.WI,20060316,976.594
20060317,CI005919.WI,20060317,974.8124
20060320,CI005919.WI,20060320,982.3447
20060321,CI005919.WI,20060321,984.0139
20060322,CI005919.WI,20060322,990.0744
20060323,CI005919.WI,20060323,994.0076
20060324,CI005919.WI,20060324,989.1305
20060327,CI005919.WI,20060327,996.0324
20060328,CI005919.WI,20060328,1001.4948
20060329,CI005919.WI,20060329,1004.4899
20060330,CI005919.WI,20060330,997.0405
20060331,CI005919.WI,20060331,995.5274
20060403,CI005919.WI,20060403,1013.8287
20060404,CI005919.WI,20060404,1025.0043
20060405,CI005919.WI,20060405,1031.9935
20060406,CI005919.WI,20060406,1035.2891
20060407,CI005919.WI,20060407,1042.7612
20060410,CI005919.WI,20060410,1058.3053
20060411,CI005919.WI,20060411,1064.7708
20060412,CI005919.WI,20060412,1060.4801
20060413,CI005919.WI,20060413,1035.5055
20060414,CI005919.WI,20060414,1056.1519
20060417,CI005919.WI,20060417,1064.9841
20060418,CI005919.WI,20060418,1068.7653
20060419,CI005919.WI,20060419,1076.8798
20060420,CI005919.WI,20060420,1074.4939
20060421,CI005919.WI,20060421,1088.6849
20060424,CI005919.WI,20060424,1081.846
20060425,CI005919.WI,20060425,1079.1916
20060426,CI005919.WI,20060426,1097.4591
20060427,CI005919.WI,20060427,1099.8452
20060428,CI005919.WI,20060428,1125.6036
20060508,CI005919.WI,20060508,1170.1634
20060509,CI005919.WI,20060509,1208.2636
20060510,CI005919.WI,20060510,1225.908
20060511,CI005919.WI,20060511,1225.5496
20060512,CI005919.WI,20060512,1262.4611
20060515,CI005919.WI,20060515,1321.369
20060516,CI005919.WI,20060516,1297.7719
20060517,CI005919.WI,20060517,1299.7158
20060518,CI005919.WI,20060518,1309.6327
20060519,CI005919.WI,20060519,1355.4581
20060522,CI005919.WI,20060522,1363.6153
20060523,CI005919.WI,20060523,1300.2767
20060524,CI005919.WI,20060524,1285.7875
20060525,CI005919.WI,20060525,1290.7469
20060526,CI005919.WI,20060526,1316.0506
20060529,CI005919.WI,20060529,1353.745
20060530,CI005919.WI,20060530,1373.8061
20060531,CI005919.WI,20060531,1361.8343
20060601,CI005919.WI,20060601,1411.3763
20060602,CI005919.WI,20060602,1408.3245
20060605,CI005919.WI,20060605,1420.7175
20060606,CI005919.WI,20060606,1403.9017
20060607,CI005919.WI,20060607,1317.3443
20060608,CI005919.WI,20060608,1316.7391
20060609,CI005919.WI,20060609,1288.8703
20060612,CI005919.WI,20060612,1300.7647
20060613,CI005919.WI,20060613,1310.2283
20060614,CI005919.WI,20060614,1306.9538
20060615,CI005919.WI,20060615,1308.9023
20060616,CI005919.WI,20060616,1339.8648
20060619,CI005919.WI,20060619,1367.9507
20060620,CI005919.WI,20060620,1373.395
20060621,CI005919.WI,20060621,1363.6176
20060622,CI005919.WI,20060622,1359.3573
20060623,CI005919.WI,20060623,1379.808
20060626,CI005919.WI,20060626,1410.6061
20060627,CI005919.WI,20060627,1422.338
20060628,CI005919.WI,20060628,1417.1164
20060629,CI005919.WI,20060629,1440.2707
20060630,CI005919.WI,20060630,1429.1095
20060703,CI005919.WI,20060703,1436.7344
20060704,CI005919.WI,20060704,1424.1245
20060705,CI005919.WI,20060705,1415.3012
20060706,CI005919.WI,20060706,1445.5485
20060707,CI005919.WI,20060707,1441.4814
20060710,CI005919.WI,20060710,1447.6314
20060711,CI005919.WI,20060711,1455.2492
20060712,CI005919.WI,20060712,1446.5963
20060713,CI005919.WI,20060713,1372.9768
20060714,CI005919.WI,20060714,1385.5048
20060717,CI005919.WI,20060717,1400.4298
20060718,CI005919.WI,20060718,1408.4601
20060719,CI005919.WI,20060719,1376.8566
20060720,CI005919.WI,20060720,1390.5431
20060721,CI005919.WI,20060721,1401.8947
20060724,CI005919.WI,20060724,1421.6346
20060725,CI005919.WI,20060725,1434.6009
20060726,CI005919.WI,20060726,1435.4183
20060727,CI005919.WI,20060727,1422.0156
20060728,CI005919.WI,20060728,1408.4083
20060731,CI005919.WI,20060731,1353.6856
20060801,CI005919.WI,20060801,1339.2475
20060802,CI005919.WI,20060802,1328.8608
20060803,CI005919.WI,20060803,1320.5957
20060804,CI005919.WI,20060804,1283.3977
20060807,CI005919.WI,20060807,1258.5596
20060808,CI005919.WI,20060808,1292.1345
20060809,CI005919.WI,20060809,1289.5477
20060810,CI005919.WI,20060810,1305.868
20060811,CI005919.WI,20060811,1311.7545
20060814,CI005919.WI,20060814,1276.3856
20060815,CI005919.WI,20060815,1294.571
20060816,CI005919.WI,20060816,1311.9078
20060817,CI005919.WI,20060817,1302.0242
20060818,CI005919.WI,20060818,1298.7162
20060821,CI005919.WI,20060821,1301.0693
20060822,CI005919.WI,20060822,1314.7765
20060823,CI005919.WI,20060823,1309.1962
20060824,CI005919.WI,20060824,1314.4886
20060825,CI005919.WI,20060825,1317.49
20060828,CI005919.WI,20060828,1347.8977
20060829,CI005919.WI,20060829,1357.9026
20060830,CI005919.WI,20060830,1363.6971
20060831,CI005919.WI,20060831,1374.2267
20060901,CI005919.WI,20060901,1353.4298
20060904,CI005919.WI,20060904,1375.2116
20060905,CI005919.WI,20060905,1374.1573
20060906,CI005919.WI,20060906,1373.8968
20060907,CI005919.WI,20060907,1354.0685
20060908,CI005919.WI,20060908,1356.3935
20060911,CI005919.WI,20060911,1363.4908
20060912,CI005919.WI,20060912,1368.6623
20060913,CI005919.WI,20060913,1350.6603
20060914,CI005919.WI,20060914,1357.2298
20060915,CI005919.WI,20060915,1370.6789
20060918,CI005919.WI,20060918,1386.2518
20060919,CI005919.WI,20060919,1391.7919
20060920,CI005919.WI,20060920,1396.721
20060921,CI005919.WI,20060921,1407.8286
20060922,CI005919.WI,20060922,1400.1699
20060925,CI005919.WI,20060925,1398.7915
20060926,CI005919.WI,20060926,1393.4289
20060927,CI005919.WI,20060927,1401.2398
20060928,CI005919.WI,20060928,1413.0392
20060929,CI005919.WI,20060929,1423.7852
20061009,CI005919.WI,20061009,1458.5491
20061010,CI005919.WI,20061010,1462.9169
20061011,CI005919.WI,20061011,1457.3185
20061012,CI005919.WI,20061012,1441.3946
20061013,CI005919.WI,20061013,1442.6858
20061016,CI005919.WI,20061016,1429.5193
20061017,CI005919.WI,20061017,1429.6298
20061018,CI005919.WI,20061018,1449.5019
20061019,CI005919.WI,20061019,1458.8102
20061020,CI005919.WI,20061020,1448.5171
20061023,CI005919.WI,20061023,1412.9806
20061024,CI005919.WI,20061024,1441.8315
20061025,CI005919.WI,20061025,1449.6173
20061026,CI005919.WI,20061026,1443.6988
20061027,CI005919.WI,20061027,1418.7533
20061030,CI005919.WI,20061030,1411.8792
20061031,CI005919.WI,20061031,1420.0213
20061101,CI005919.WI,20061101,1420.6532
20061102,CI005919.WI,20061102,1422.3633
20061103,CI005919.WI,20061103,1434.3235
20061106,CI005919.WI,20061106,1427.3198
20061107,CI005919.WI,20061107,1416.1171
20061108,CI005919.WI,20061108,1415.3257
20061109,CI005919.WI,20061109,1429.1454
20061110,CI005919.WI,20061110,1400.216
20061113,CI005919.WI,20061113,1367.8041
20061114,CI005919.WI,20061114,1389.2502
20061115,CI005919.WI,20061115,1422.1519
20061116,CI005919.WI,20061116,1421.0956
20061117,CI005919.WI,20061117,1438.8036
20061120,CI005919.WI,20061120,1436.9948
20061121,CI005919.WI,20061121,1440.7848
20061122,CI005919.WI,20061122,1458.5791
20061123,CI005919.WI,20061123,1464.7003
20061124,CI005919.WI,20061124,1481.6618
20061127,CI005919.WI,20061127,1507.9899
20061128,CI005919.WI,20061128,1514.5886
20061129,CI005919.WI,20061129,1540.0694
20061130,CI005919.WI,20061130,1565.7621
20061201,CI005919.WI,20061201,1578.226
20061204,CI005919.WI,20061204,1604.9515
20061205,CI005919.WI,20061205,1609.3597
20061206,CI005919.WI,20061206,1582.5016
20061207,CI005919.WI,20061207,1570.9491
20061208,CI005919.WI,20061208,1527.9381
20061211,CI005919.WI,20061211,1582.4212
20061212,CI005919.WI,20061212,1588.6078
20061213,CI005919.WI,20061213,1591.6995
20061214,CI005919.WI,20061214,1635.1055
20061215,CI005919.WI,20061215,1656.6567
20061218,CI005919.WI,20061218,1712.1615
20061219,CI005919.WI,20061219,1725.4361
20061220,CI005919.WI,20061220,1756.993
20061221,CI005919.WI,20061221,1731.086
20061222,CI005919.WI,20061222,1714.6875
20061225,CI005919.WI,20061225,1741.3266
20061226,CI005919.WI,20061226,1733.6982
20061227,CI005919.WI,20061227,1758.8119
20061228,CI005919.WI,20061228,1731.5381
20061229,CI005919.WI,20061229,1765.1712
20070104,CI005919.WI,20070104,1762.3182
20070105,CI005919.WI,20070105,1789.3745
20070108,CI005919.WI,20070108,1846.2835
20070109,CI005919.WI,20070109,1891.6136
20070110,CI005919.WI,20070110,1930.3977
20070111,CI005919.WI,20070111,1951.4811
20070112,CI005919.WI,20070112,1933.1509
20070115,CI005919.WI,20070115,2037.5546
20070116,CI005919.WI,20070116,2120.4437
20070117,CI005919.WI,20070117,2115.0756
20070118,CI005919.WI,20070118,2185.704
20070119,CI005919.WI,20070119,2261.1504
20070122,CI005919.WI,20070122,2338.5769
20070123,CI005919.WI,20070123,2302.9127
20070124,CI005919.WI,20070124,2318.6126
20070125,CI005919.WI,20070125,2228.9411
20070126,CI005919.WI,20070126,2246.304
20070129,CI005919.WI,20070129,2285.7463
20070130,CI005919.WI,20070130,2286.3702
20070131,CI005919.WI,20070131,2151.8972
20070201,CI005919.WI,20070201,2175.471
20070202,CI005919.WI,20070202,2120.2715
20070205,CI005919.WI,20070205,2114.8061
20070206,CI005919.WI,20070206,2139.5109
20070207,CI005919.WI,20070207,2175.5703
20070208,CI005919.WI,20070208,2213.5289
20070209,CI005919.WI,20070209,2212.9358
20070212,CI005919.WI,20070212,2280.8819
20070213,CI005919.WI,20070213,2324.3914
20070214,CI005919.WI,20070214,2359.707
20070215,CI005919.WI,20070215,2439.1551
20070216,CI005919.WI,20070216,2446.7167
20070226,CI005919.WI,20070226,2481.5565
20070227,CI005919.WI,20070227,2260.4565
20070228,CI005919.WI,20070228,2321.6397
20070301,CI005919.WI,20070301,2279.689
20070302,CI005919.WI,20070302,2310.2027
20070305,CI005919.WI,20070305,2294.1223
20070306,CI005919.WI,20070306,2317.7693
20070307,CI005919.WI,20070307,2379.004
20070308,CI005919.WI,20070308,2419.6451
20070309,CI005919.WI,20070309,2414.3484
20070312,CI005919.WI,20070312,2452.0393
20070313,CI005919.WI,20070313,2472.9357
20070314,CI005919.WI,20070314,2455.225
20070315,CI005919.WI,20070315,2499.308
20070316,CI005919.WI,20070316,2458.0656
20070319,CI005919.WI,20070319,2483.3669
20070320,CI005919.WI,20070320,2511.0927
20070321,CI005919.WI,20070321,2543.7377
20070322,CI005919.WI,20070322,2550.8311
20070323,CI005919.WI,20070323,2578.909
20070326,CI005919.WI,20070326,2634.3944
20070327,CI005919.WI,20070327,2662.2065
20070328,CI005919.WI,20070328,2645.729
20070329,CI005919.WI,20070329,2603.2239
20070330,CI005919.WI,20070330,2614.6865
20070402,CI005919.WI,20070402,2660.5238
20070403,CI005919.WI,20070403,2704.2903
20070404,CI005919.WI,20070404,2736.3496
20070405,CI005919.WI,20070405,2773.3788
20070406,CI005919.WI,20070406,2813.4876
20070409,CI005919.WI,20070409,2871.3478
20070410,CI005919.WI,20070410,2882.5659
20070411,CI005919.WI,20070411,2893.8981
20070412,CI005919.WI,20070412,2963.2687
20070413,CI005919.WI,20070413,2993.2161
20070416,CI005919.WI,20070416,3072.8344
20070417,CI005919.WI,20070417,3122.9126
20070418,CI005919.WI,20070418,3168.6283
20070419,CI005919.WI,20070419,3008.3469
20070420,CI005919.WI,20070420,3146.3339
20070423,CI005919.WI,20070423,3279.3013
20070424,CI005919.WI,20070424,3310.4339
20070425,CI005919.WI,20070425,3308.6334
20070426,CI005919.WI,20070426,3362.7428
20070427,CI005919.WI,20070427,3361.4246
20070430,CI005919.WI,20070430,3461.6551
20070508,CI005919.WI,20070508,3582.4912
20070509,CI005919.WI,20070509,3575.8767
20070510,CI005919.WI,20070510,3575.0867
20070511,CI005919.WI,20070511,3562.5832
20070514,CI005919.WI,20070514,3582.1146
20070515,CI005919.WI,20070515,3475.8446
20070516,CI005919.WI,20070516,3592.8749
20070517,CI005919.WI,20070517,3675.3878
20070518,CI005919.WI,20070518,3693.4345
20070521,CI005919.WI,20070521,3772.119
